Pełna nazwa;Marka;Model;Link;Liczba drzwi;Liczba miejsc;Średnica zawracania;Promień skrętu;Długość;Szerokość;Szerokość z lusterkami bocznymi;Wysokość;Rozstaw osi;Rozstaw kół - przód;Rozstaw kół - tył;Zwis przedni;Zwis tylny;Prześwit;Długość z hakiem holowniczym;Szerokość ze złożonymi lusterkami bocznymi;Szerokość przy otwartych drzwiach z przodu;Szerokość przy otwartych drzwiach z tyłu;Wysokość z relingami dachowymi;Wysokość z anteną;Wysokość przy otwartej klapie bagażnika;Wysokość przy otwartej pokrywie silnika;Prześwit 4x4;Odległość oparcia fotela przedniego od kierownicy;Długość kolumny kierownicy;Odległość oparcia przedniego od komory silnika;Odległość od siedziska przedniego do dachu;Wysokość siedziska przedniego;Długość siedziska przedniego;Wysokość oparcia przedniego;Odległość pomiędzy siedzeniami przednimi i tylnymi;Odległość od siedziska tylnego do dachu;Odległość od podłogi do siedziska tylnego;Długość siedziska tylnego;Wysokość oparcia tylnego;Szerokość nad podłokietnikami z przodu;Szerokość nad podłokietnikami z tyłu;Szerokość na wysokości podłokietników z przodu;Szerokość na wysokości podłokietników z tyłu;Przestrzeń wsiadania z przodu - szerokość;Przestrzeń wsiadania z przodu - wysokość;Przestrzeń wsiadania z tyłu - szerokość;Przestrzeń wsiadania z tyłu - wysokość;Zakres przesuwania foteli przednich;Całkowita długość wnętrza kabiny;Całkowita szerokość wnętrza kabiny;Całkowita wysokość wnętrza kabiny;Maksymalna pojemność bagażnika (siedzenia złożone);Minimalna pojemność bagażnika (siedzenia rozłożone);Szerokość pomiędzy nadkolami;Wysokość bagażnika;Szerokość bagażnika;Długość do oparcia tylnej kanapy;Długość ze złożoną tylną kanapą;Wysokość progu załadowczego;Kąt natarcia;Kąt rampowy;Kąt zejścia;Kąt przechyłu bocznego;Możliwość podjazdu;Głębokość brodzenia;Maksymalna ładowność;Dopuszczalne obciążenie dachu;Powierzchnia „przejrzysta” przedniej szyby;Całkowita powierzchnia „przejrzysta” szyb;Produkowany;Pojemność skokowa;Typ silnika;Moc silnika;Maksymalny moment obrotowy;Moc silnika (spalinowy);Maksymalny moment obrotowy (spalinowy);Moc silnika (elektryczny);Maksymalny moment obrotowy (elektryczny);Montaż silnika;Doładowanie;Umiejscowienie wałka rozrządu;Liczba cylindrów;Układ cylindrów;Liczba zaworów;Stopień sprężania;Zapłon;Typ wtrysku;Liczba silników;Średnica cylindra × skok tłoka;Układ paliwowy;Dodatkowe informacje;Rodzaj układu kierowniczego;Opony podstawowe;Opony opcjonalne;Felgi podstawowe;Felgi opcjonalne;Rozstaw śrub;Rodzaj hamulców (przód);Rodzaj hamulców (tył);Hamowanie (100 do 0km/h) z ABS;Typ układu hamulcowego;Grubość tarcz hamulcowych (przód);Grubość tarcz hamulcowych (tył);Średnica tarcz hamulcowych (przód);Średnica tarcz hamulcowych (tył);Rodzaj zawieszenia (przód);Rodzaj zawieszenia  (tył);Amortyzatory;Rodzaj skrzyni;Nazwa skrzyni;Liczba stopni;Rodzaj napędu;Rodzaj sprzęgła;Prędkość maksymalna;Przyspieszenie (od 0 do 100km/h);400 metrów ze startu zatrzymanego;1000 metrów ze startu zatrzymanego;Średnie spalanie (cykl mieszany);Spalanie na trasie (na autostradzie);Spalanie w mieście;Pojemność akumulatora brutto;Typ ładowarki;Chłodzenie akumulatora;Pojemność akumulatora netto;Metodologia pomiaru zasięgu;Zużycie energii;Maksymalny zasięg przy oszczędnej jeździe na długiej trasie;Średni maksymalny zasięg;Średni minimalny zasięg;Maksymalna moc ładowania DC;Maksymalna moc ładowania AC;Stacja szybkiego ładowania;Gniazdko 3F/Stacja AC;Gniazdko 1F;Pojemność zbiornika paliwa;Zasięg (cykl mieszany);Zasięg (autostrada);Zasięg (miasto);Emisja CO₂;Norma emisji spalin;Minimalna masa własna pojazdu (bez obciążenia);Maksymalna masa całkowita pojazdu (w pełni obciążonego);Maksymalna masa przyczepy z hamulcami;Maksymalna masa przyczepy bez hamulców;Maksymalny nacisk na hak;Pojemność akumulatora;Pojemność akumulatora w wersji z klimatyzacja;System start&stop;Kod silnika
Audi Q2 35 Tdi 150hp;Audi;Q2;https://www.auto-data.net/pl/audi-q2-35-tdi-150hp-35838;5;5;brak danych;brak danych;4191 mm;1794 mm;2009 mm;1508 mm;2601 mm;1547 mm;1541 mm;828 mm;762 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;405 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;340 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;205/60 R16;215/60 R16;6J x 16;6.5J x 16;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;skręt;brak danych;;brak danych;6 biegów;na przednią oś;brak danych;211 km/h;8.5 s;brak danych;brak danych;4.7 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;50 l;brak danych;brak danych;brak danych;118 g/km;Euro 6d-Temp;1365 kg;590 kg;brak danych;720 kg;1600 kg;brak danych;brak danych;brak danych;DFGA
Audi Q2 30 Tfsi 116hp S Tronic;Audi;Q2;https://www.auto-data.net/pl/audi-q2-30-tfsi-116hp-s-tronic-35046;5;5;brak danych;11.1 m;4191 mm;1794 mm;2009 mm;1508 mm;2601 mm;1547 mm;1541 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1050 l;405 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;200 Nm przy 2000 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;3;brak danych;4;brak danych;brak danych;Wtrysk bezpośredni;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;brak danych;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;skręt;brak danych;automatyczna;brak danych;7 biegów;na przednią oś;brak danych;197 km/h;10.3 s;brak danych;brak danych;5.4 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;50 l;brak danych;brak danych;brak danych;122 g/km;Euro 6d - TEMP;1250 kg;580 kg;brak danych;660 kg;1300 kg;brak danych;brak danych;brak danych;DKRF
Audi Q2 30 Tfsi 116hp;Audi;Q2;https://www.auto-data.net/pl/audi-q2-30-tfsi-116hp-35045;5;5;brak danych;11.1 m;4191 mm;1794 mm;2009 mm;1508 mm;2601 mm;1547 mm;1541 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1050 l;405 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;200 Nm przy 2000 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;3;brak danych;4;brak danych;brak danych;Wtrysk bezpośredni;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;brak danych;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;skręt;brak danych;;brak danych;6 biegów;na przednią oś;brak danych;197 km/h;10.1 s;brak danych;brak danych;5.4 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;50 l;brak danych;brak danych;brak danych;119 g/km;Euro 6d - TEMP;1225 kg;575 kg;brak danych;650 kg;1300 kg;brak danych;brak danych;brak danych;DKRF
Audi Q2 30 Tdi 116hp S Tronic;Audi;Q2;https://www.auto-data.net/pl/audi-q2-30-tdi-116hp-s-tronic-35044;5;5;brak danych;11.1 m;4191 mm;1794 mm;2009 mm;1508 mm;2601 mm;1547 mm;1541 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1050 l;405 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;250 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;brak danych;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;skręt;brak danych;automatyczna;brak danych;7 biegów;na przednią oś;brak danych;197 km/h;10.5 s;brak danych;brak danych;4.8 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;50 l;brak danych;brak danych;brak danych;117 g/km;Euro 6d - TEMP;1360 kg;585 kg;brak danych;710 kg;1500 kg;brak danych;brak danych;brak danych;DGTE
Audi Q2 30 Tdi 116hp;Audi;Q2;https://www.auto-data.net/pl/audi-q2-30-tdi-116hp-35043;5;5;brak danych;11.1 m;4191 mm;1794 mm;2009 mm;1508 mm;2601 mm;1547 mm;1541 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1050 l;405 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;250 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;brak danych;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;skręt;brak danych;;brak danych;6 biegów;na przednią oś;brak danych;197 km/h;10.3 s;brak danych;brak danych;4.9 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;50 l;brak danych;brak danych;brak danych;121 g/km;Euro 6d - TEMP;1345 kg;585 kg;brak danych;710 kg;1500 kg;brak danych;brak danych;brak danych;DGTE
Audi Q3 Sportback F3 45 Tfsi 230hp Quattro S Tronic;Audi;Q3;https://www.auto-data.net/pl/audi-q3-sportback-f3-45-tfsi-230hp-quattro-s-tronic-37441;5;5;brak danych;11.8 m;4500 mm;1843 mm;2022 mm;1567 mm;2680 mm;1584 mm;1576 mm;905 mm;915 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;530 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2019 r do 2020 r;brak danych;brak danych;brak danych;350 Nm przy 1500 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;brak danych;brak danych;brak danych;Wtrysk bezpośredni;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;215/65 R17;235/55 R18;7J x 17;7J x 18;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;233 km/h;6.5 s;brak danych;brak danych;7.7 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 l;brak danych;brak danych;brak danych;166 g/km;Euro 6d - TEMP - EVAP - ISC;1625 kg;585 kg;brak danych;750 kg;2100 kg;brak danych;brak danych;brak danych;DKTA
Audi Q3 Sportback F3 40 Tdi 200hp Quattro S Tronic;Audi;Q3;https://www.auto-data.net/pl/audi-q3-sportback-f3-40-tdi-200hp-quattro-s-tronic-41555;5;5;brak danych;11.8 m;4500 mm;1843 mm;2022 mm;1567 mm;2680 mm;1584 mm;1576 mm;905 mm;915 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;530 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2020 r do 2024 r;brak danych;brak danych;brak danych;400 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;15.5:1;brak danych;Diesel common rail;brak danych;81 mm;brak danych;brak danych;Przekładnia zębatkowa;215/65 R17;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;224 km/h;7.3 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;58 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-ISC-FCM;1660 kg;590 kg;brak danych;750 kg;2200 kg;brak danych;brak danych;brak danych;DTUA
Audi Q3 Sportback F3 40 Tdi 190hp Quattro S Tronic;Audi;Q3;https://www.auto-data.net/pl/audi-q3-sportback-f3-40-tdi-190hp-quattro-s-tronic-37921;5;5;brak danych;11.8 m;4500 mm;1843 mm;2022 mm;1567 mm;2680 mm;1584 mm;1576 mm;905 mm;915 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;530 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2019 r do 2020 r;brak danych;brak danych;brak danych;400 Nm przy 1900 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;brak danych;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;217 km/h;8.3 s;brak danych;brak danych;5.7 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 l;brak danych;brak danych;brak danych;145 g/km;Euro 6d - TEMP - EVAP - ISC;1695 kg;585 kg;brak danych;750 kg;2200 kg;brak danych;brak danych;brak danych;EA288DFHA
Audi Q3 Sportback F3 35 Tfsi 150hp;Audi;Q3;https://www.auto-data.net/pl/audi-q3-sportback-f3-35-tfsi-150hp-37519;5;5;brak danych;11.8 m;4500 mm;1843 mm;2022 mm;1567 mm;2680 mm;1584 mm;1576 mm;905 mm;915 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;530 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2019 r do 2020 r;brak danych;brak danych;brak danych;250 Nm przy 1500 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;brak danych;brak danych;brak danych;Wtrysk bezpośredni;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;215/65 R17;235/55 R18;7J x 17;7J x 18;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;Niezależne zawieszenie wielowahaczowe;brak danych;;brak danych;6 biegów;na przednią oś;brak danych;204 km/h;9.6 s;brak danych;brak danych;6.0 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 l;brak danych;brak danych;brak danych;130 g/km;Euro 6d - TEMP - EVAP - ISC;1460 kg;585 kg;brak danych;750 kg;1800 kg;brak danych;brak danych;brak danych;EA211evoDADA,DPCA
Audi Q3 Sportback F3 35 Tdi 150hp S Tronic;Audi;Q3;https://www.auto-data.net/pl/audi-q3-sportback-f3-35-tdi-150hp-s-tronic-37440;5;5;brak danych;11.8 m;4500 mm;1840 mm;2022 mm;1560 mm;2680 mm;1584 mm;1576 mm;905 mm;915 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;530 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2019 r do 2020 r;brak danych;brak danych;brak danych;340 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;brak danych;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;215/65 R17;235/55 R18;7J x 17;7J x 18;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;7 biegów;na przednią oś;brak danych;205 km/h;9.3 s;brak danych;brak danych;4.9 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;58 l;brak danych;brak danych;brak danych;123 g/km;Euro 6d-TEMP-EVAP-ISC;1580 kg;575 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;DFGA
Audi Q3 Sportback F3 35 Tdi 150hp Quattro;Audi;Q3;https://www.auto-data.net/pl/audi-q3-sportback-f3-35-tdi-150hp-quattro-37521;5;5;brak danych;brak danych;4500 mm;1843 mm;2022 mm;1567 mm;2680 mm;1584 mm;1576 mm;905 mm;915 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;530 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2019 r do 2020 r;brak danych;brak danych;brak danych;340 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;215/65 R17;235/55 R18;7J x 17;7J x 18;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;;brak danych;6 biegów;4x4;brak danych;207 km/h;9.3 s;brak danych;brak danych;5.7 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 l;brak danych;brak danych;brak danych;144 g/km;Euro 6d - TEMP - EVAP - ISC;1635 kg;brak danych;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;DFGA
Audi Q3 Sportback F3 35 Tdi 150hp;Audi;Q3;https://www.auto-data.net/pl/audi-q3-sportback-f3-35-tdi-150hp-52204;5;5;brak danych;11.8 m;4500 mm;1843 mm;2022 mm;1567 mm;2680 mm;1584 mm;1576 mm;905 mm;915 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1400 l;530 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;19.9°;brak danych;16.7°;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2020 r do 2024 r;brak danych;brak danych;brak danych;340 Nm przy 1600 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;DOHC;4;brak danych;4;16:1;brak danych;Diesel common rail;brak danych;81 mm;brak danych;brak danych;Przekładnia zębatkowa;215/65 R17;235/55 R18;6.5J x 17;7J x 17;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne, typu McPherson ze sprężyną śrubową i drążkiem stabilizującym;Niezależne wielowahaczowe zawieszenie sprężynowe ze stabilizatorem;brak danych;;brak danych;6 biegów;na przednią oś;brak danych;200 km/h;9.4 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;58 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-ISC-FCM;1555 kg;575 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;EA288evoDTSA
Audi Q3 F3 45 Tfsi 245hp Quattro S Tronic;Audi;Q3;https://www.auto-data.net/pl/audi-q3-f3-45-tfsi-245hp-quattro-s-tronic-52207;5;5;brak danych;11.8 m;4484 mm;1856 mm;2024 mm;1616 mm;2680 mm;1584 mm;1576 mm;896 mm;908 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1525 l;530 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;18.8°;brak danych;16.2°;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2021 r do 2024 r;brak danych;brak danych;brak danych;370 Nm przy 1600 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;DOHC;4;brak danych;4;9.6:1;brak danych;Wtrysk bezpośredni;brak danych;82.5 mm;brak danych;brak danych;Przekładnia zębatkowa;215/65 R17;235/55 R18;6.5J x 17;7J x 17;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne, typu McPherson ze sprężyną śrubową i drążkiem stabilizującym;Niezależne wielowahaczowe zawieszenie sprężynowe ze stabilizatorem;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;238 km/h;5.8 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-ISC-FCM;1620 kg;580 kg;brak danych;750 kg;2100 kg;brak danych;brak danych;brak danych;EA888DNPA
